step,tag,value,logdir
107,eval/MSE,1.1302281618118286,shared=True_LF=0.99_LR=0.01
108,eval/MSE,1.1231993436813354,shared=True_LF=0.99_LR=0.01
109,eval/MSE,1.116899847984314,shared=True_LF=0.99_LR=0.01
110,eval/MSE,1.1112390756607056,shared=True_LF=0.99_LR=0.01
111,eval/MSE,1.1061474084854126,shared=True_LF=0.99_LR=0.01
112,eval/MSE,1.10154390335083,shared=True_LF=0.99_LR=0.01
113,eval/MSE,1.0973705053329468,shared=True_LF=0.99_LR=0.01
114,eval/MSE,1.0935568809509277,shared=True_LF=0.99_LR=0.01
115,eval/MSE,1.0900347232818604,shared=True_LF=0.99_LR=0.01
116,eval/MSE,1.0867868661880493,shared=True_LF=0.99_LR=0.01
117,eval/MSE,1.0837771892547607,shared=True_LF=0.99_LR=0.01
118,eval/MSE,1.080975890159607,shared=True_LF=0.99_LR=0.01
119,eval/MSE,1.078369379043579,shared=True_LF=0.99_LR=0.01
120,eval/MSE,1.0759289264678955,shared=True_LF=0.99_LR=0.01
121,eval/MSE,1.073652982711792,shared=True_LF=0.99_LR=0.01
122,eval/MSE,1.0715324878692627,shared=True_LF=0.99_LR=0.01
123,eval/MSE,1.0695486068725586,shared=True_LF=0.99_LR=0.01
124,eval/MSE,1.0676935911178589,shared=True_LF=0.99_LR=0.01
125,eval/MSE,1.0659695863723755,shared=True_LF=0.99_LR=0.01
126,eval/MSE,1.0643455982208252,shared=True_LF=0.99_LR=0.01
127,eval/MSE,1.0628288984298706,shared=True_LF=0.99_LR=0.01
128,eval/MSE,1.061396598815918,shared=True_LF=0.99_LR=0.01
129,eval/MSE,1.0600314140319824,shared=True_LF=0.99_LR=0.01
130,eval/MSE,1.058709979057312,shared=True_LF=0.99_LR=0.01
131,eval/MSE,1.0573997497558594,shared=True_LF=0.99_LR=0.01
132,eval/MSE,1.056044101715088,shared=True_LF=0.99_LR=0.01
133,eval/MSE,1.0546256303787231,shared=True_LF=0.99_LR=0.01
134,eval/MSE,1.053138017654419,shared=True_LF=0.99_LR=0.01
135,eval/MSE,1.0515834093093872,shared=True_LF=0.99_LR=0.01
136,eval/MSE,1.049990177154541,shared=True_LF=0.99_LR=0.01
137,eval/MSE,1.0483897924423218,shared=True_LF=0.99_LR=0.01
138,eval/MSE,1.0467994213104248,shared=True_LF=0.99_LR=0.01
139,eval/MSE,1.0452338457107544,shared=True_LF=0.99_LR=0.01
140,eval/MSE,1.0437090396881104,shared=True_LF=0.99_LR=0.01
141,eval/MSE,1.0422580242156982,shared=True_LF=0.99_LR=0.01
142,eval/MSE,1.040887475013733,shared=True_LF=0.99_LR=0.01
143,eval/MSE,1.0396254062652588,shared=True_LF=0.99_LR=0.01
144,eval/MSE,1.0384740829467773,shared=True_LF=0.99_LR=0.01
145,eval/MSE,1.0374375581741333,shared=True_LF=0.99_LR=0.01
146,eval/MSE,1.0365290641784668,shared=True_LF=0.99_LR=0.01
147,eval/MSE,1.0357458591461182,shared=True_LF=0.99_LR=0.01
148,eval/MSE,1.0350860357284546,shared=True_LF=0.99_LR=0.01
149,eval/MSE,1.0345548391342163,shared=True_LF=0.99_LR=0.01
150,eval/MSE,1.034137487411499,shared=True_LF=0.99_LR=0.01
151,eval/MSE,1.0338186025619507,shared=True_LF=0.99_LR=0.01
152,eval/MSE,1.03358793258667,shared=True_LF=0.99_LR=0.01
153,eval/MSE,1.0334304571151733,shared=True_LF=0.99_LR=0.01
154,eval/MSE,1.0333529710769653,shared=True_LF=0.99_LR=0.01
155,eval/MSE,1.0333384275436401,shared=True_LF=0.99_LR=0.01
156,eval/MSE,1.0333527326583862,shared=True_LF=0.99_LR=0.01
